EventId,EventTemplate,Occurrences
E9,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",3884
E7,"<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>",1147
E11,<*> open through proxy <*> HTTPS,10219
E6,"<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>",3294
E8,"<*> close, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>",1887
E10,<*> open through proxy <*> SOCKS5,8
E4,<*> error : A connection request was canceled before the completion.,305
E2,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,14
E1,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",233
E5,<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,134
E3,<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,195
